,Algoritmo Genetico
0,6.91497837297
1,4.92723376447
2,7.98891111388
3,6.91497837297
4,4.92723376447
5,7.98891111388
6,6.91497837297
7,2.63753111544
8,5.42213183448
9,4.92723376447
10,3.62538498511
11,2.63753111544
12,2.63753111544
13,3.62538498511
14,2.63753111544
15,2.63753111544
16,3.62538498511
17,2.63753111544
18,2.63753111544
19,3.62538498511
20,2.63753111544
21,2.63753111544
22,3.62538498511
23,2.63753111544
24,2.63753111544
25,0.0
26,2.63753111544
27,2.63753111544
28,0.0
29,2.63753111544
30,2.63753111544
31,0.0
32,2.63753111544
33,2.63753111544
34,0.0
35,2.63753111544
36,2.63753111544
37,0.0
38,2.63753111544
39,2.63753111544
40,0.0
41,2.63753111544
42,2.63753111544
43,0.0
44,2.63753111544
45,2.63753111544
46,0.0
47,2.63753111544
48,2.63753111544
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
